day,Date,time,open,high,low,close,index
Wednesday,2020-01-08,16:00:00,1.112,1.112,1.1107,1.1116,172
Wednesday,2020-01-08,17:00:00,1.1116,1.1126,1.1111,1.1118,171
Wednesday,2020-01-08,18:00:00,1.1118,1.1118,1.1109,1.1113,170
Wednesday,2020-01-08,19:00:00,1.1113,1.1114,1.1107,1.1111,169
Wednesday,2020-01-08,20:00:00,1.1111,1.1115,1.1108,1.1112,168
Wednesday,2020-01-08,21:00:00,1.1112,1.1113,1.11,1.1105,167
Wednesday,2020-01-08,22:00:00,1.1105,1.1115,1.1102,1.111,166
Wednesday,2020-01-08,23:00:00,1.111,1.1113,1.1105,1.1112,165
Wednesday,2020-01-15,00:00:00,1.1128,1.1131,1.1125,1.113,68
Wednesday,2020-01-15,01:00:00,1.113,1.1131,1.1125,1.113,67
Wednesday,2020-01-15,02:00:00,1.1128,1.1131,1.1125,1.1129,66
Wednesday,2020-01-15,03:00:00,1.1129,1.1131,1.1126,1.113,65
Wednesday,2020-01-15,04:00:00,1.113,1.1134,1.1128,1.1133,64
Wednesday,2020-01-15,05:00:00,1.1133,1.1135,1.113,1.1134,63
Wednesday,2020-01-15,06:00:00,1.1134,1.1137,1.113,1.1134,62
Wednesday,2020-01-15,07:00:00,1.1136,1.1137,1.1125,1.1128,61
Wednesday,2020-01-15,08:00:00,1.1128,1.1131,1.1117,1.113,60
Wednesday,2020-01-15,09:00:00,1.113,1.1134,1.1124,1.1128,59
Wednesday,2020-01-15,10:00:00,1.1128,1.1139,1.1123,1.1139,58
Wednesday,2020-01-15,11:00:00,1.1138,1.1155,1.1137,1.1148,57
Wednesday,2020-01-15,12:00:00,1.1148,1.1153,1.1138,1.1141,56
Wednesday,2020-01-15,13:00:00,1.1141,1.1149,1.1138,1.1148,55
Wednesday,2020-01-15,14:00:00,1.1149,1.1163,1.1147,1.1152,54
Wednesday,2020-01-15,15:00:00,1.1152,1.1155,1.1141,1.1152,53
Wednesday,2020-01-15,16:00:00,1.1152,1.116,1.1148,1.1159,52
Wednesday,2020-01-15,17:00:00,1.1159,1.1161,1.1154,1.1157,51
Wednesday,2020-01-15,18:00:00,1.1158,1.116,1.1148,1.1152,50
Wednesday,2020-01-15,19:00:00,1.1152,1.1154,1.1147,1.1151,49
Wednesday,2020-01-15,20:00:00,1.1151,1.1153,1.1146,1.1152,48
Wednesday,2020-01-15,21:00:00,1.1152,1.1153,1.1146,1.115,47
Wednesday,2020-01-15,22:00:00,1.115,1.1154,1.1147,1.1152,46
Wednesday,2020-01-15,23:00:00,1.1152,1.1153,1.1148,1.1152,45
