,index,date,open,high,low,close,Day of Week
261,314,2020-01-03 17:00:00,1.1172,1.1174,1.1166,1.1172,Friday
262,313,2020-01-03 18:00:00,1.1172,1.1174,1.1164,1.1167,Friday
263,312,2020-01-03 19:00:00,1.1167,1.1168,1.116,1.1167,Friday
264,311,2020-01-03 20:00:00,1.1167,1.1167,1.1158,1.1161,Friday
265,310,2020-01-03 21:00:00,1.1162,1.1162,1.1151,1.116,Friday
266,309,2020-01-03 22:00:00,1.116,1.116,1.116,1.116,Friday
267,308,2020-01-03 23:00:00,1.116,1.116,1.116,1.116,Friday
268,163,2020-01-10 00:00:00,1.1109,1.111,1.1104,1.1107,Friday
269,162,2020-01-10 01:00:00,1.1107,1.1107,1.1101,1.1104,Friday
270,161,2020-01-10 02:00:00,1.1104,1.1108,1.1102,1.1108,Friday
271,160,2020-01-10 03:00:00,1.1108,1.1109,1.1105,1.1108,Friday
272,159,2020-01-10 04:00:00,1.1108,1.1111,1.1105,1.1107,Friday
273,158,2020-01-10 05:00:00,1.1107,1.111,1.1104,1.1109,Friday
274,157,2020-01-10 06:00:00,1.1109,1.111,1.1105,1.1109,Friday
275,156,2020-01-10 07:00:00,1.1109,1.1111,1.1103,1.1107,Friday
276,155,2020-01-10 08:00:00,1.1107,1.1109,1.1092,1.1099,Friday
277,154,2020-01-10 09:00:00,1.1099,1.11,1.1089,1.1096,Friday
278,153,2020-01-10 10:00:00,1.1096,1.1099,1.1089,1.1093,Friday
279,152,2020-01-10 11:00:00,1.1093,1.1096,1.1084,1.1093,Friday
280,151,2020-01-10 12:00:00,1.1093,1.1099,1.109,1.1098,Friday
281,150,2020-01-10 13:00:00,1.1098,1.1114,1.1088,1.1097,Friday
282,149,2020-01-10 14:00:00,1.1097,1.1104,1.1085,1.1101,Friday
283,148,2020-01-10 15:00:00,1.1101,1.1118,1.1097,1.1113,Friday
284,147,2020-01-10 16:00:00,1.1113,1.1121,1.1109,1.1118,Friday
285,146,2020-01-10 17:00:00,1.1118,1.1129,1.1117,1.1122,Friday
286,145,2020-01-10 18:00:00,1.1122,1.1123,1.1117,1.1119,Friday
287,144,2020-01-10 19:00:00,1.1119,1.1123,1.1115,1.1122,Friday
288,143,2020-01-10 20:00:00,1.1122,1.1122,1.1118,1.1121,Friday
289,142,2020-01-10 21:00:00,1.1121,1.1122,1.1116,1.1118,Friday
290,141,2020-01-10 22:00:00,1.1121,1.1121,1.112,1.112,Friday
291,140,2020-01-10 23:00:00,1.112,1.112,1.112,1.112,Friday
